No,Booking_ID,no_of_adults,no_of_children,no_of_weekend_nights,no_of_week_nights,type_of_meal_plan,required_car_parking_space,room_type_reserved,lead_time,arrival_year,arrival_month,arrival_date,market_segment_type,repeated_guest,no_of_previous_cancellations,no_of_previous_bookings_not_canceled,avg_price_per_room,no_of_special_requests,booking_status
30,INN00770,2,0,0,2,Meal Plan 2,0,Room_Type 1,257,2017,7,1,Online,0,0,0,101.5,0,Canceled
31,INN00773,2,1,3,9,Meal Plan 1,0,Room_Type 1,155,2018,8,1,Online,0,0,0,119.71,1,Canceled
32,INN00831,1,0,0,3,Meal Plan 1,0,Room_Type 1,166,2018,11,1,Online,0,0,0,110,0,Canceled
33,INN00834,1,0,0,1,Meal Plan 1,0,Room_Type 1,0,2017,10,1,Complementary,1,0,1,0,0,Not_Canceled
34,INN00876,2,0,2,2,Not Selected,0,Room_Type 1,99,2018,5,1,Online,0,0,0,89.25,0,Canceled
35,INN00906,2,0,2,1,Meal Plan 1,0,Room_Type 1,179,2018,10,1,Online,0,0,0,108.9,2,Canceled
36,INN00932,1,0,0,3,Meal Plan 1,0,Room_Type 1,6,2018,11,1,Offline,0,0,0,75,0,Not_Canceled
37,INN00983,2,0,1,2,Meal Plan 1,1,Room_Type 1,43,2018,7,1,Online,0,0,0,126.9,1,Not_Canceled
38,INN01018,2,1,1,3,Meal Plan 1,0,Room_Type 1,2,2018,2,1,Online,0,0,0,93,2,Not_Canceled
39,INN01046,2,0,1,5,Meal Plan 1,0,Room_Type 1,22,2017,9,1,Online,0,0,0,105,2,Not_Canceled
40,INN01133,2,0,0,2,Meal Plan 2,0,Room_Type 1,257,2017,7,1,Online,0,0,0,101.5,0,Canceled
41,INN01153,2,0,2,3,Meal Plan 1,0,Room_Type 4,118,2018,5,1,Online,0,0,0,107.95,0,Not_Canceled
42,INN01164,1,0,0,3,Meal Plan 1,0,Room_Type 1,166,2018,11,1,Online,0,0,0,110,0,Canceled
43,INN01187,2,0,0,2,Meal Plan 1,0,Room_Type 1,71,2018,4,1,Online,0,0,0,87.3,0,Canceled
44,INN01263,2,1,2,2,Meal Plan 1,0,Room_Type 1,103,2018,5,1,Online,0,0,0,99.45,2,Not_Canceled
45,INN01266,2,0,1,3,Meal Plan 1,0,Room_Type 1,124,2018,8,1,Online,0,0,0,105.3,1,Not_Canceled
46,INN01283,1,0,1,1,Meal Plan 1,1,Room_Type 1,1,2018,8,1,Online,0,0,0,124,1,Not_Canceled
47,INN01309,2,0,0,2,Not Selected,0,Room_Type 1,53,2018,9,1,Online,0,0,0,89.1,2,Not_Canceled
48,INN01352,2,0,0,3,Meal Plan 1,0,Room_Type 4,59,2018,9,1,Online,0,0,0,123.3,2,Not_Canceled
49,INN01372,2,0,0,4,Meal Plan 1,0,Room_Type 4,37,2018,3,1,Online,0,0,0,95.4,1,Canceled
50,INN01396,0,1,2,4,Meal Plan 1,0,Room_Type 2,109,2018,4,1,Online,0,0,0,73.74,1,Not_Canceled
51,INN01404,3,0,0,0,Meal Plan 1,0,Room_Type 4,57,2018,4,1,Online,0,0,0,0,2,Not_Canceled
52,INN01476,2,0,1,3,Meal Plan 1,0,Room_Type 1,16,2017,10,1,Online,0,0,0,111.75,1,Not_Canceled
53,INN01477,1,0,0,3,Meal Plan 1,0,Room_Type 1,166,2018,11,1,Online,0,0,0,110,0,Canceled
54,INN01500,2,0,0,2,Meal Plan 1,0,Room_Type 1,33,2017,10,1,Online,0,0,0,79.35,1,Not_Canceled
55,INN01527,1,0,1,3,Meal Plan 1,0,Room_Type 1,169,2018,9,1,Offline,0,0,0,76.5,0,Not_Canceled
56,INN01561,2,0,2,1,Meal Plan 1,0,Room_Type 1,275,2018,10,1,Online,0,0,0,106.2,0,Canceled
57,INN01625,2,0,2,0,Meal Plan 1,0,Room_Type 1,120,2018,5,1,Online,0,0,0,105.3,1,Canceled
58,INN01659,1,0,1,0,Meal Plan 1,0,Room_Type 1,4,2018,5,1,Online,0,0,0,125,1,Not_Canceled
59,INN01678,3,0,2,0,Meal Plan 1,0,Room_Type 4,24,2018,5,1,Online,0,0,0,172,2,Not_Canceled
60,INN01716,2,0,0,1,Meal Plan 1,0,Room_Type 1,145,2018,7,1,Offline,0,0,0,72.76,0,Not_Canceled
61,INN01736,2,0,0,4,Not Selected,0,Room_Type 1,54,2018,3,1,Online,0,0,0,49.43,0,Not_Canceled
62,INN01742,2,0,2,1,Meal Plan 1,0,Room_Type 4,135,2018,10,1,Online,0,0,0,132.3,0,Canceled
63,INN01776,1,0,0,4,Meal Plan 1,0,Room_Type 1,65,2017,7,1,Online,0,0,0,68,1,Canceled
64,INN01817,2,0,2,1,Meal Plan 2,0,Room_Type 1,117,2017,8,1,Online,0,0,0,94.5,0,Canceled
65,INN01824,2,0,2,4,Meal Plan 1,0,Room_Type 4,53,2018,9,1,Online,0,0,0,121.35,1,Not_Canceled
66,INN01826,2,0,2,5,Not Selected,0,Room_Type 1,11,2018,2,1,Online,0,0,0,79,0,Canceled
67,INN01836,2,0,2,1,Meal Plan 1,0,Room_Type 1,180,2018,10,1,Online,0,0,0,108.9,1,Canceled
68,INN01838,2,1,1,0,Meal Plan 1,0,Room_Type 1,0,2017,11,1,Online,0,0,0,90.4,0,Not_Canceled
69,INN01852,3,0,1,4,Meal Plan 1,0,Room_Type 4,176,2018,8,1,Online,0,0,0,130.05,2,Canceled
70,INN01900,2,0,2,2,Meal Plan 1,0,Room_Type 4,71,2018,5,1,Online,0,0,0,132.6,0,Canceled
71,INN01939,2,0,2,1,Meal Plan 2,0,Room_Type 1,117,2017,8,1,Offline,0,0,0,94.5,0,Not_Canceled
72,INN01976,1,0,4,10,Not Selected,0,Room_Type 1,26,2018,12,1,Online,0,0,0,66.29,0,Canceled
73,INN02006,2,0,0,2,Meal Plan 2,0,Room_Type 1,257,2017,7,1,Online,0,0,0,101.5,0,Canceled
74,INN02065,2,0,0,2,Meal Plan 2,0,Room_Type 1,257,2017,7,1,Online,0,0,0,101.5,0,Canceled
75,INN02135,2,0,1,3,Meal Plan 1,0,Room_Type 1,47,2017,10,1,Online,0,0,0,103.05,2,Not_Canceled
76,INN02207,1,0,0,1,Meal Plan 1,0,Room_Type 2,0,2018,9,1,Complementary,0,0,0,0,0,Not_Canceled
77,INN02225,2,0,1,4,Meal Plan 1,0,Room_Type 1,168,2018,8,1,Online,0,0,0,99.45,0,Canceled
78,INN02281,1,0,0,3,Meal Plan 1,0,Room_Type 1,166,2018,11,1,Online,0,0,0,110,0,Canceled
79,INN02298,3,0,1,5,Meal Plan 1,1,Room_Type 4,110,2018,8,1,Online,0,0,0,148.2,1,Not_Canceled
80,INN02334,2,0,2,2,Meal Plan 1,0,Room_Type 1,83,2018,5,1,Offline,0,0,0,75,1,Not_Canceled
81,INN02448,2,0,1,3,Meal Plan 1,0,Room_Type 4,26,2018,2,1,Online,0,0,0,99,1,Not_Canceled
82,INN02449,1,0,1,2,Meal Plan 1,0,Room_Type 1,5,2018,2,1,Online,0,0,0,68.22,1,Not_Canceled
83,INN02487,2,0,0,2,Meal Plan 2,0,Room_Type 1,257,2017,7,1,Online,0,0,0,101.5,0,Canceled
84,INN02539,1,0,0,2,Meal Plan 2,0,Room_Type 1,257,2017,7,1,Offline,0,0,0,80,0,Not_Canceled
85,INN02545,2,0,0,4,Not Selected,0,Room_Type 1,54,2018,3,1,Online,0,0,0,47.43,0,Canceled
86,INN02555,2,0,2,1,Not Selected,0,Room_Type 1,167,2018,10,1,Online,0,0,0,98.1,0,Canceled
87,INN02557,2,0,0,3,Meal Plan 1,0,Room_Type 4,313,2018,12,1,Online,0,0,0,91.8,1,Canceled
88,INN02560,2,1,1,2,Meal Plan 1,0,Room_Type 1,86,2018,7,1,Offline,0,0,0,107.69,1,Not_Canceled
89,INN02658,2,2,1,3,Meal Plan 1,0,Room_Type 6,14,2018,9,1,Online,0,0,0,210,1,Not_Canceled
90,INN02682,2,0,2,1,Meal Plan 2,0,Room_Type 1,117,2017,8,1,Online,0,0,0,94.5,0,Canceled
91,INN02831,3,0,0,2,Meal Plan 1,0,Room_Type 1,2,2018,4,1,Online,0,0,0,90.47,1,Not_Canceled
92,INN02841,2,0,0,2,Meal Plan 1,0,Room_Type 1,88,2018,12,1,Online,0,0,0,93.6,0,Canceled
93,INN02872,2,0,0,4,Not Selected,0,Room_Type 1,10,2018,11,1,Online,0,0,0,102,0,Canceled
94,INN02993,1,0,1,2,Meal Plan 1,0,Room_Type 1,42,2018,4,1,Online,0,0,0,112.5,1,Not_Canceled
95,INN02995,2,0,0,3,Meal Plan 1,0,Room_Type 1,43,2018,11,1,Offline,0,0,0,75,0,Not_Canceled
96,INN03014,2,0,2,1,Meal Plan 1,0,Room_Type 1,83,2018,5,1,Offline,0,0,0,75,0,Not_Canceled
97,INN03019,2,0,2,1,Meal Plan 1,0,Room_Type 1,34,2018,5,1,Online,0,0,0,126.9,0,Canceled
98,INN03140,2,0,2,2,Meal Plan 1,0,Room_Type 7,5,2018,10,1,Online,0,0,0,221.38,2,Not_Canceled
99,INN03156,2,0,0,2,Meal Plan 1,0,Room_Type 4,1,2018,3,1,Complementary,1,0,1,0,1,Not_Canceled
100,INN03173,2,0,0,4,Meal Plan 1,0,Room_Type 4,92,2018,11,1,Online,0,0,0,103.5,1,Not_Canceled
101,INN03176,2,0,1,2,Meal Plan 1,0,Room_Type 4,75,2018,7,1,Online,0,0,0,131.4,0,Canceled
102,INN03223,1,0,1,2,Meal Plan 1,0,Room_Type 1,154,2018,7,1,Online,0,0,0,75,0,Canceled
103,INN03257,2,0,2,3,Meal Plan 1,0,Room_Type 4,41,2017,11,1,Offline,0,0,0,60,1,Not_Canceled
104,INN03272,2,0,0,4,Not Selected,0,Room_Type 1,12,2018,11,1,Online,0,0,0,93.5,1,Not_Canceled
105,INN03290,1,0,2,8,Meal Plan 1,0,Room_Type 1,45,2018,11,1,Online,0,0,0,101.38,0,Canceled
106,INN03385,2,0,1,0,Not Selected,0,Room_Type 1,0,2018,8,1,Online,0,0,0,59.04,0,Not_Canceled
107,INN03416,2,0,2,3,Meal Plan 1,0,Room_Type 1,110,2018,5,1,Online,0,0,0,109.25,1,Not_Canceled
108,INN03445,2,0,0,1,Meal Plan 1,0,Room_Type 4,31,2018,3,1,Online,0,0,0,106.4,1,Canceled
109,INN03462,2,0,2,3,Meal Plan 1,0,Room_Type 1,47,2018,7,1,Online,0,0,0,117.9,1,Not_Canceled
110,INN03467,2,0,2,2,Meal Plan 1,0,Room_Type 1,25,2018,7,1,Offline,0,0,0,72.25,0,Not_Canceled
111,INN03480,2,0,0,1,Meal Plan 1,1,Room_Type 1,67,2018,4,1,Online,0,0,0,109.1,0,Not_Canceled
112,INN03657,2,0,2,2,Meal Plan 1,0,Room_Type 4,167,2018,10,1,Online,0,0,0,122.4,0,Canceled
113,INN03660,2,0,1,1,Meal Plan 1,0,Room_Type 1,168,2018,10,1,Online,0,0,0,127,2,Canceled
114,INN03664,2,0,1,3,Meal Plan 2,0,Room_Type 1,195,2018,12,1,Online,0,0,0,106.25,2,Not_Canceled
115,INN03728,1,0,1,2,Meal Plan 1,0,Room_Type 1,114,2018,7,1,Online,0,0,0,75,0,Canceled
116,INN03777,1,0,2,3,Meal Plan 1,0,Room_Type 1,38,2017,10,1,Offline,0,0,0,58,1,Not_Canceled
117,INN03781,2,0,2,2,Meal Plan 1,0,Room_Type 4,71,2018,5,1,Online,0,0,0,132.6,0,Canceled
118,INN03793,1,0,2,1,Meal Plan 2,0,Room_Type 1,4,2017,8,1,Offline,0,0,0,36.25,0,Not_Canceled
119,INN03820,1,0,1,0,Not Selected,0,Room_Type 1,6,2018,2,1,Online,0,0,0,81,0,Not_Canceled
120,INN03851,1,0,4,10,Meal Plan 1,0,Room_Type 4,64,2018,4,1,Online,0,0,0,109.65,1,Canceled
121,INN03856,2,0,0,1,Not Selected,0,Room_Type 1,0,2018,3,1,Online,0,0,0,89,0,Not_Canceled
122,INN03865,3,0,1,4,Meal Plan 1,1,Room_Type 4,103,2018,8,1,Online,0,0,0,146.7,0,Not_Canceled
123,INN03867,1,0,0,1,Meal Plan 1,0,Room_Type 1,1,2017,10,1,Offline,0,0,0,96,0,Not_Canceled
124,INN03872,2,0,0,2,Meal Plan 2,0,Room_Type 1,257,2017,7,1,Online,0,0,0,101.5,0,Canceled
125,INN03899,2,0,0,2,Meal Plan 2,0,Room_Type 1,257,2017,7,1,Online,0,0,0,101.5,0,Canceled
126,INN03906,2,1,2,3,Meal Plan 1,0,Room_Type 4,41,2017,11,1,Offline,0,0,0,75,2,Not_Canceled
127,INN03922,2,0,2,6,Meal Plan 1,0,Room_Type 1,24,2017,9,1,Offline,0,0,0,53.85,0,Not_Canceled
128,INN03941,2,0,0,3,Meal Plan 1,0,Room_Type 1,114,2018,6,1,Offline,0,0,0,75,1,Not_Canceled
129,INN03966,2,0,0,3,Meal Plan 1,0,Room_Type 1,125,2018,11,1,Online,0,0,0,90,2,Not_Canceled
130,INN03985,2,0,1,2,Meal Plan 1,0,Room_Type 1,152,2018,8,1,Offline,0,0,0,72.25,0,Not_Canceled
131,INN04030,2,0,2,5,Meal Plan 1,0,Room_Type 4,123,2018,8,1,Offline,0,0,0,91.7,0,Not_Canceled
132,INN04041,2,0,1,1,Not Selected,0,Room_Type 1,268,2018,10,1,Online,0,0,0,95.4,0,Canceled
133,INN04103,1,0,0,2,Meal Plan 1,1,Room_Type 1,6,2018,3,1,Corporate,1,2,23,68,1,Not_Canceled
134,INN04128,2,1,2,2,Meal Plan 1,0,Room_Type 1,33,2018,5,1,Online,0,0,0,143.1,0,Canceled
135,INN04137,2,0,1,4,Meal Plan 1,0,Room_Type 1,181,2017,7,1,Online,0,0,0,76.5,0,Canceled
136,INN04230,2,0,0,3,Meal Plan 1,0,Room_Type 4,16,2017,10,1,Online,0,0,0,123.33,1,Not_Canceled
137,INN04244,2,0,1,0,Not Selected,0,Room_Type 1,0,2018,8,1,Online,0,0,0,90,1,Not_Canceled
138,INN04250,2,0,2,1,Meal Plan 1,0,Room_Type 1,179,2018,10,1,Online,0,0,0,108.9,2,Canceled
139,INN04260,1,0,1,2,Meal Plan 1,0,Room_Type 1,114,2018,7,1,Online,0,0,0,75,0,Canceled
140,INN04289,1,0,0,3,Meal Plan 1,0,Room_Type 1,166,2018,11,1,Online,0,0,0,110,0,Canceled
141,INN04291,2,0,0,3,Not Selected,0,Room_Type 1,57,2018,11,1,Online,0,0,0,79.2,1,Not_Canceled
142,INN04323,2,0,0,3,Not Selected,0,Room_Type 1,10,2018,12,1,Online,0,0,0,90.33,0,Not_Canceled
143,INN04326,2,0,0,3,Meal Plan 1,0,Room_Type 1,22,2017,9,1,Online,0,0,0,105,2,Not_Canceled
144,INN04359,1,0,0,2,Meal Plan 1,0,Room_Type 1,19,2018,1,1,Online,0,0,0,107,1,Not_Canceled
145,INN04364,2,2,0,2,Meal Plan 1,0,Room_Type 6,2,2018,12,1,Online,0,0,0,148.2,0,Not_Canceled
146,INN04400,2,1,0,3,Meal Plan 1,0,Room_Type 1,51,2018,11,1,Online,0,0,0,129,1,Not_Canceled
147,INN04410,2,0,1,1,Meal Plan 1,0,Room_Type 4,267,2018,10,1,Online,0,0,0,115.2,0,Canceled
148,INN04479,2,0,1,3,Not Selected,0,Room_Type 1,173,2018,9,1,Online,0,0,0,84.43,1,Not_Canceled
149,INN04656,2,0,0,2,Meal Plan 2,0,Room_Type 1,257,2017,7,1,Online,0,0,0,101.5,0,Canceled
150,INN04673,1,0,0,3,Meal Plan 1,0,Room_Type 4,40,2018,3,1,Online,0,0,0,88.5,0,Canceled
151,INN04710,1,0,0,1,Meal Plan 1,0,Room_Type 1,9,2017,10,1,Corporate,0,0,0,65,0,Not_Canceled
152,INN04729,2,1,1,0,Meal Plan 1,0,Room_Type 1,163,2018,8,1,Online,0,0,0,121.5,3,Not_Canceled
153,INN04733,2,0,0,1,Not Selected,0,Room_Type 1,0,2018,6,1,Online,0,0,0,116.1,1,Not_Canceled
154,INN04763,2,0,1,1,Not Selected,0,Room_Type 1,145,2018,8,1,Online,0,0,0,94.5,0,Not_Canceled
155,INN04782,1,0,0,3,Meal Plan 1,0,Room_Type 1,166,2018,11,1,Online,0,0,0,110,0,Canceled
156,INN04886,1,0,0,3,Meal Plan 1,0,Room_Type 4,58,2018,6,1,Online,0,0,0,140.4,0,Canceled
157,INN04916,3,0,2,3,Meal Plan 1,0,Room_Type 4,36,2018,7,1,Online,0,0,0,150.3,0,Canceled
158,INN04949,2,0,2,3,Meal Plan 2,0,Room_Type 4,68,2018,4,1,Online,0,0,0,130.9,1,Not_Canceled
159,INN04972,2,0,2,1,Meal Plan 2,0,Room_Type 1,117,2017,8,1,Online,0,0,0,94.5,0,Canceled
160,INN04983,2,0,2,3,Meal Plan 1,0,Room_Type 4,48,2018,4,1,Online,0,0,0,131.4,0,Canceled
161,INN05069,2,0,1,2,Meal Plan 1,0,Room_Type 1,84,2018,4,1,Online,0,0,0,87.3,1,Not_Canceled
162,INN05127,3,0,0,2,Meal Plan 1,0,Room_Type 4,44,2018,7,1,Online,0,0,0,150.3,0,Canceled
163,INN05167,3,0,0,3,Meal Plan 1,0,Room_Type 4,3,2018,12,1,Online,0,0,0,156.33,2,Not_Canceled
164,INN05228,2,0,1,3,Meal Plan 1,0,Room_Type 1,47,2017,10,1,Online,0,0,0,103.05,1,Not_Canceled
165,INN05332,3,0,0,2,Meal Plan 1,0,Room_Type 4,21,2018,3,1,Online,0,0,0,142,2,Not_Canceled
166,INN05380,2,0,2,1,Meal Plan 1,0,Room_Type 1,130,2017,8,1,Online,0,0,0,85.5,1,Canceled
167,INN05393,2,0,0,1,Meal Plan 1,0,Room_Type 1,1,2018,11,1,Corporate,1,0,1,75,0,Not_Canceled
168,INN05408,1,0,0,3,Meal Plan 1,0,Room_Type 1,166,2018,11,1,Online,0,0,0,110,0,Canceled
169,INN05451,1,0,0,3,Meal Plan 1,0,Room_Type 1,166,2018,11,1,Online,0,0,0,110,0,Canceled
170,INN05456,2,0,0,4,Meal Plan 1,0,Room_Type 1,88,2017,7,1,Online,0,0,0,76.5,1,Canceled
171,INN05478,2,0,2,1,Meal Plan 1,0,Room_Type 4,34,2017,11,1,Offline,0,0,0,60,0,Not_Canceled
172,INN05498,2,0,0,1,Meal Plan 1,0,Room_Type 1,21,2018,3,1,Offline,0,0,0,64.8,0,Not_Canceled
173,INN05525,2,0,0,4,Meal Plan 1,0,Room_Type 1,55,2018,3,1,Online,0,0,0,78.08,1,Not_Canceled
174,INN05580,2,0,2,3,Meal Plan 1,0,Room_Type 4,118,2018,5,1,Online,0,0,0,107.95,0,Not_Canceled
175,INN05587,1,0,0,1,Meal Plan 1,0,Room_Type 1,46,2018,3,1,Offline,0,0,0,59.32,0,Not_Canceled
176,INN05649,2,0,0,3,Meal Plan 1,0,Room_Type 1,208,2017,12,1,Online,0,0,0,72.25,1,Canceled
177,INN05650,2,0,3,7,Meal Plan 2,0,Room_Type 1,148,2018,7,1,Offline,0,0,0,102.25,0,Not_Canceled
178,INN05720,2,0,0,4,Meal Plan 1,0,Room_Type 4,16,2018,6,1,Online,0,0,0,135.8,0,Not_Canceled
179,INN05722,1,0,0,3,Meal Plan 1,0,Room_Type 1,166,2018,11,1,Online,0,0,0,110,0,Canceled
180,INN05731,2,1,0,3,Meal Plan 1,0,Room_Type 4,26,2018,6,1,Online,0,0,0,153.67,2,Not_Canceled
181,INN05780,2,1,1,1,Meal Plan 1,0,Room_Type 1,155,2018,8,1,Online,0,0,0,130.5,1,Canceled
182,INN05792,2,0,0,3,Not Selected,0,Room_Type 1,25,2018,11,1,Online,0,0,0,100,1,Not_Canceled
183,INN05801,1,0,0,3,Meal Plan 1,0,Room_Type 1,166,2018,11,1,Online,0,0,0,110,0,Canceled
184,INN05813,2,0,0,2,Meal Plan 1,0,Room_Type 1,16,2017,10,1,Online,0,0,0,107,0,Not_Canceled
185,INN05850,1,0,0,3,Meal Plan 1,0,Room_Type 1,166,2018,11,1,Online,0,0,0,110,0,Canceled
186,INN05852,2,0,0,4,Meal Plan 1,0,Room_Type 4,15,2018,3,1,Offline,0,0,0,54.5,0,Not_Canceled
187,INN05885,1,0,0,2,Meal Plan 2,0,Room_Type 1,257,2017,7,1,Offline,0,0,0,80,0,Not_Canceled
188,INN05910,1,0,0,3,Meal Plan 1,0,Room_Type 1,166,2018,11,1,Online,0,0,0,110,0,Canceled
189,INN05925,3,0,0,2,Meal Plan 1,0,Room_Type 4,44,2018,7,1,Online,0,0,0,150.3,0,Canceled
190,INN05935,2,1,2,3,Meal Plan 1,0,Room_Type 1,95,2018,7,1,Online,0,0,0,130.5,1,Not_Canceled
191,INN06034,2,0,2,1,Meal Plan 1,0,Room_Type 1,275,2018,10,1,Online,0,0,0,106.2,0,Canceled
192,INN06053,1,0,1,0,Meal Plan 1,0,Room_Type 1,24,2017,11,1,Corporate,0,0,0,65,0,Not_Canceled
193,INN06054,3,0,0,2,Meal Plan 1,0,Room_Type 4,142,2018,7,1,Online,0,0,0,128.7,1,Not_Canceled
194,INN06107,1,0,2,5,Meal Plan 1,0,Room_Type 2,20,2017,9,1,Offline,0,0,0,85.5,1,Not_Canceled
195,INN06138,2,0,0,3,Meal Plan 1,0,Room_Type 1,111,2018,6,1,Offline,0,0,0,96.67,0,Not_Canceled
196,INN06145,2,0,1,3,Meal Plan 1,0,Room_Type 1,16,2017,10,1,Online,0,0,0,111.75,2,Not_Canceled
197,INN06169,1,0,0,2,Not Selected,0,Room_Type 1,25,2018,6,1,Online,0,0,0,104,0,Not_Canceled
198,INN06245,2,0,0,2,Meal Plan 1,0,Room_Type 1,18,2018,11,1,Online,0,0,0,120,1,Not_Canceled
199,INN06303,2,0,1,3,Meal Plan 1,0,Room_Type 1,290,2018,12,1,Online,0,0,0,73.95,0,Canceled
200,INN06358,2,0,2,1,Meal Plan 1,0,Room_Type 1,179,2018,10,1,Online,0,0,0,108.9,1,Canceled
201,INN06384,1,0,0,3,Meal Plan 1,0,Room_Type 1,166,2018,11,1,Online,0,0,0,110,0,Canceled
202,INN06409,2,0,0,2,Meal Plan 1,0,Room_Type 4,148,2018,6,1,Online,0,0,0,115.2,1,Canceled
203,INN06451,2,0,0,2,Meal Plan 2,0,Room_Type 1,257,2017,7,1,Online,0,0,0,101.5,0,Canceled
204,INN06473,2,0,1,2,Meal Plan 1,0,Room_Type 1,170,2018,8,1,Online,0,0,0,105.3,0,Canceled
205,INN06548,1,0,0,2,Not Selected,0,Room_Type 1,14,2018,12,1,Online,0,0,0,67.76,1,Not_Canceled
206,INN06585,2,0,2,1,Meal Plan 2,0,Room_Type 1,117,2017,8,1,Online,0,0,0,94.5,0,Canceled
207,INN06699,2,0,2,1,Meal Plan 1,0,Room_Type 1,11,2017,11,1,Online,0,0,0,87,1,Not_Canceled
208,INN06845,3,0,3,9,Meal Plan 1,0,Room_Type 1,155,2018,8,1,Online,0,0,0,135.01,1,Canceled
209,INN06863,2,0,1,1,Meal Plan 2,0,Room_Type 4,131,2018,8,1,Online,0,0,0,162,3,Not_Canceled
210,INN06872,2,0,2,3,Meal Plan 1,0,Room_Type 1,48,2018,12,1,Offline,0,0,0,68,0,Not_Canceled
211,INN06923,3,0,0,4,Meal Plan 1,0,Room_Type 4,61,2018,6,1,Online,0,0,0,159.3,1,Canceled
212,INN06955,2,0,0,2,Meal Plan 2,0,Room_Type 1,257,2017,7,1,Online,0,0,0,101.5,0,Canceled
213,INN06990,2,0,0,3,Meal Plan 1,0,Room_Type 1,17,2017,10,1,Online,0,0,0,113.33,2,Not_Canceled
214,INN07012,3,0,0,1,Meal Plan 1,0,Room_Type 4,41,2018,9,1,Online,0,0,0,142.2,2,Not_Canceled
